"LSOA21CD","Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)","Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)","Income Rank (where 1 is most deprived)","Income Decile (where 1 is most deprived 10% of LSOAs)","Employment Rank (where 1 is most deprived)","Employment Decile (where 1 is most deprived 10% of LSOAs)","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)","Health Deprivation and Disability Rank (where 1 is most deprived)","Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs)","Crime Rank (where 1 is most deprived)","Crime Decile (where 1 is most deprived 10% of LSOAs)","Barriers to Housing and Services Rank (where 1 is most deprived)","Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs)","Living Environment Rank (where 1 is most deprived)","Living Environment Decile (where 1 is most deprived 10% of LSOAs)","Output_Area_to_Lower_layer_Supe.MSOA21CD","Total annual income.Total annual income (£)","LAD24CD","202425_local_authority_district.attainment8_average"
"E01002263","28079","9","25129","8","27194","9","20893","7","27312","9","25398","8","19327","6","21106","7","E02000489","72722","E09000016","49.5"
"E01002264","6526","2","5549","2","5590","2","6519","2","8258","3","11197","4","5783","2","21951","7","E02000489","72722","E09000016","49.5"
"E01002265","25792","8","24106","8","24185","8","17495","6","23149","7","26750","8","20248","6","19020","6","E02000488","80814","E09000016","49.5"
"E01002266","22404","7","20732","7","21402","7","16060","5","20911","7","17057","6","20300","7","19642","6","E02000490","69874","E09000016","49.5"
"E01002267","13572","5","9775","3","11292","4","13674","5","15060","5","17964","6","11199","4","22949","7","E02000490","69874","E09000016","49.5"
"E01002268","23257","7","20581","7","22423","7","23068","7","25676","8","22797","7","8502","3","19706","6","E02000473","80083","E09000016","49.5"
"E01002269","24036","8","24721","8","24063","8","20667","7","28956","9","26376","8","5245","2","19493","6","E02000473","80083","E09000016","49.5"
"E01002270","30778","10","27540","9","30708","10","25663","8","30495","10","27587","9","17061","6","25773","8","E02000478","86987","E09000016","49.5"
"E01002271","32396","10","32844","10","32286","10","25681","8","32157","10","33032","10","13666","5","32153","10","E02000478","86987","E09000016","49.5"
"E01002272","27834","9","22836","7","25286","8","25408","8","28820","9","22107","7","23605","7","18884","6","E02000477","86349","E09000016","49.5"
"E01002273","25848","8","29084","9","21904","7","21468","7","27471","9","22096","7","8734","3","25254","8","E02000478","86987","E09000016","49.5"
"E01002274","27793","9","26348","8","25672","8","23853","8","26814","8","28115","9","15918","5","17919","6","E02000477","86349","E09000016","49.5"
"E01002275","30380","10","31740","10","28083","9","24057","8","27508","9","30249","9","14937","5","25316","8","E02000478","86987","E09000016","49.5"
"E01002276","8871","3","8868","3","7944","3","7338","3","13163","4","11668","4","4155","2","22750","7","E02000464","61692","E09000016","49.5"
"E01002277","8018","3","9876","3","7802","3","4019","2","14590","5","6399","2","8893","3","13659","5","E02000465","66180","E09000016","49.5"
"E01002278","7441","3","6489","2","8207","3","5116","2","9809","3","13921","5","3999","2","22486","7","E02000464","61692","E09000016","49.5"
"E01002279","10208","4","10605","4","10578","4","7757","3","13647","5","7013","3","6707","2","21418","7","E02000465","66180","E09000016","49.5"
"E01002280","3598","2","4101","2","2720","1","4571","2","6272","2","7658","3","2046","1","16360","5","E02000467","58436","E09000016","49.5"
"E01002281","6428","2","5807","2","6583","2","7726","3","11314","4","6479","2","2581","1","21485","7","E02000465","66180","E09000016","49.5"
"E01002282","2757","1","3345","1","3193","1","3078","1","7587","3","809","1","2883","1","18764","6","E02000467","58436","E09000016","49.5"
"E01002283","10258","4","10587","4","9779","3","10653","4","8219","3","12427","4","8276","3","16529","5","E02000465","66180","E09000016","49.5"
"E01002284","10006","3","9070","3","10722","4","10670","4","15937","5","10261","4","2961","1","19389","6","E02000467","58436","E09000016","49.5"
"E01002285","31994","10","29840","9","29449","9","23294","7","27375","9","31688","10","31465","10","27007","9","E02000488","80814","E09000016","49.5"
"E01002286","32980","10","32539","10","32210","10","23802","8","32429","10","33652","10","22567","7","30604","10","E02000488","80814","E09000016","49.5"
"E01002287","27922","9","24236","8","25396","8","21905","7","29774","9","27876","9","23845","8","15543","5","E02000486","75074","E09000016","49.5"
"E01002288","31002","10","23871","8","27729","9","24241","8","27515","9","32809","10","31306","10","29609","9","E02000488","80814","E09000016","49.5"
"E01002289","26252","8","24845","8","23541","7","22183","7","23495","7","27797","9","14904","5","20499","7","E02000485","86896","E09000016","49.5"
"E01002290","30142","9","31168","10","26520","8","23638","8","28303","9","28681","9","18732","6","22736","7","E02000488","80814","E09000016","49.5"
"E01002291","22590","7","21251","7","20318","7","21602","7","28534","9","20818","7","16348","5","9475","3","E02000486","75074","E09000016","49.5"
"E01002292","16575","5","16351","5","14186","5","15839","5","19077","6","19394","6","5737","2","22887","7","E02000485","86896","E09000016","49.5"
"E01002294","24125","8","22348","7","23973","8","23370","7","25056","8","18419","6","11377","4","18252","6","E02000470","74051","E09000016","49.5"
"E01002295","19647","6","16651","5","19513","6","21681","7","22767","7","22355","7","5380","2","19797","6","E02000473","80083","E09000016","49.5"
"E01002296","20045","6","21943","7","20588","7","17203","6","27110","9","23279","7","5847","2","10200","4","E02000470","74051","E09000016","49.5"
"E01002297","5110","2","5303","2","3843","2","5228","2","7551","3","10935","4","4202","2","17080","6","E02000467","58436","E09000016","49.5"
"E01002298","20933","7","18980","6","20257","7","16889","6","26392","8","24589","8","9735","3","14065","5","E02000470","74051","E09000016","49.5"
"E01002299","14942","5","12627","4","14977","5","9734","3","15236","5","18470","6","14485","5","17509","6","E02000465","66180","E09000016","49.5"
"E01002300","26174","8","19654","6","26744","8","27126","9","29636","9","26547","8","12112","4","17617","6","E02000470","74051","E09000016","49.5"
"E01002301","21528","7","19070","6","18327","6","13639","5","19108","6","24108","8","23840","8","21202","7","E02000466","67176","E09000016","49.5"
"E01002302","21141","7","18338","6","19842","6","13997","5","25750","8","20580","7","16110","5","17461","6","E02000468","68381","E09000016","49.5"
"E01002303","9970","3","9677","3","7820","3","6612","2","12321","4","15931","5","8225","3","24093","8","E02000466","67176","E09000016","49.5"
"E01002304","15083","5","21700","7","19153","6","10928","4","13408","4","16851","5","3739","2","11777","4","E02000466","67176","E09000016","49.5"
"E01002305","16275","5","14585","5","14998","5","13680","5","18061","6","19824","6","8288","3","20536","7","E02000468","68381","E09000016","49.5"
"E01002306","6710","2","6352","2","6915","3","5391","2","13155","4","6559","2","3233","1","23384","7","E02000466","67176","E09000016","49.5"
"E01002307","14081","5","10580","4","12545","4","12272","4","14382","5","22119","7","12697","4","17961","6","E02000466","67176","E09000016","49.5"
"E01002308","12600","4","10802","4","11098","4","9812","3","17543","6","16235","5","5345","2","28727","9","E02000468","68381","E09000016","49.5"
"E01002309","11880","4","9664","3","13359","4","10306","4","15470","5","13214","4","5559","2","19201","6","E02000469","63584","E09000016","49.5"
"E01002310","5153","2","8002","3","5247","2","3908","2","6869","3","4104","2","3958","2","15871","5","E02000469","63584","E09000016","49.5"
"E01002311","11239","4","9252","3","11299","4","8522","3","14739","5","13417","4","5732","2","26961","8","E02000469","63584","E09000016","49.5"
"E01002312","11119","4","11519","4","11913","4","7887","3","14984","5","11114","4","4704","2","20433","7","E02000464","61692","E09000016","49.5"
"E01002313","10062","3","10603","4","9649","3","8249","3","11069","4","11890","4","4342","2","26690","8","E02000464","61692","E09000016","49.5"
"E01002314","5129","2","4257","2","6386","2","5373","2","9844","3","6749","2","1804","1","20356","7","E02000467","58436","E09000016","49.5"
"E01002315","11452","4","9953","3","10872","4","11006","4","14332","5","17776","6","4840","2","18729","6","E02000469","63584","E09000016","49.5"
"E01002316","3388","2","3209","1","3433","2","4396","2","8611","3","7251","3","577","1","19891","6","E02000467","58436","E09000016","49.5"
"E01002317","32679","10","31251","10","31313","10","24124","8","31526","10","31018","10","25506","8","29685","9","E02000477","86349","E09000016","49.5"
"E01002318","29216","9","28141","9","27439","9","19867","6","27374","9","29127","9","19228","6","23698","8","E02000477","86349","E09000016","49.5"
"E01002319","12096","4","10002","3","9970","3","13671","5","16445","5","9062","3","15763","5","13154","4","E02000479","69024","E09000016","49.5"
"E01002320","29458","9","23397","7","26771","8","22429","7","26959","8","31051","10","25239","8","26881","8","E02000484","77887","E09000016","49.5"
"E01002321","27106","9","26030","8","24075","8","18984","6","29521","9","19125","6","21518","7","21607","7","E02000484","77887","E09000016","49.5"
"E01002322","28996","9","22811","7","26474","8","22871","7","26811","8","26192","8","27660","9","25574","8","E02000484","77887","E09000016","49.5"
"E01002323","28786","9","25821","8","25733","8","22898","7","31203","10","26029","8","23998","8","17203","6","E02000484","77887","E09000016","49.5"
"E01002324","17013","6","13852","5","11640","4","11937","4","19553","6","22303","7","21097","7","24068","8","E02000484","77887","E09000016","49.5"
"E01002325","10382","4","8152","3","9592","3","6827","3","16493","5","15138","5","8841","3","18518","6","E02000474","66544","E09000016","49.5"
"E01002326","12228","4","10956","4","12186","4","10264","4","21105","7","7298","3","11640","4","12683","4","E02000468","68381","E09000016","49.5"
"E01002327","21405","7","17896","6","18221","6","13295","4","25713","8","24466","8","15491","5","24158","8","E02000472","79642","E09000016","49.5"
"E01002328","27080","9","22040","7","25648","8","22178","7","26782","8","25366","8","25344","8","16125","5","E02000472","79642","E09000016","49.5"
"E01002329","21722","7","18303","6","18678","6","17501","6","26250","8","19514","6","20890","7","15040","5","E02000474","66544","E09000016","49.5"
"E01002330","13696","5","10637","4","12499","4","14497","5","15542","5","15330","5","11791","4","15623","5","E02000474","66544","E09000016","49.5"
"E01002331","21607","7","17037","6","22280","7","15800","5","20370","7","25854","8","15035","5","19592","6","E02000468","68381","E09000016","49.5"
"E01002332","19686","6","15777","5","15519","5","14584","5","22789","7","22086","7","14963","5","26331","8","E02000472","79642","E09000016","49.5"
"E01002333","30375","9","26578","8","28850","9","22529","7","31259","10","26673","8","23995","8","23537","7","E02000471","80052","E09000016","49.5"
"E01002334","27719","9","24399","8","25987","8","19660","6","30277","9","25488","8","19507","6","20349","7","E02000471","80052","E09000016","49.5"
"E01002335","14892","5","12871","4","12203","4","11728","4","16480","5","19633","6","13443","4","18336","6","E02000472","79642","E09000016","49.5"
"E01002336","22721","7","20111","6","22796","7","15922","5","24491","8","23130","7","17454","6","14299","5","E02000471","80052","E09000016","49.5"
"E01002337","24011","8","18546","6","23310","7","22620","7","28864","9","15590","5","30481","10","10990","4","E02000475","79202","E09000016","49.5"
"E01002338","21148","7","19762","6","20239","6","19430","6","20704","7","14244","5","20633","7","13411","4","E02000472","79642","E09000016","49.5"
"E01002339","31680","10","30070","9","27818","9","24474","8","30319","9","26115","8","30222","9","26097","8","E02000471","80052","E09000016","49.5"
"E01002340","28146","9","21897","7","25238","8","21680","7","28687","9","25642","8","27482","9","22190","7","E02000472","79642","E09000016","49.5"
"E01002341","28081","9","28560","9","26967","8","17046","6","29796","9","25386","8","17724","6","20391","7","E02000471","80052","E09000016","49.5"
"E01002342","12470","4","11046","4","11389","4","12977","4","19125","6","13547","5","7206","3","12477","4","E02000493","67555","E09000016","49.5"
"E01002343","23283","7","20682","7","20471","7","19917","6","25493","8","25479","8","9541","3","24469","8","E02000492","74216","E09000016","49.5"
"E01002344","14210","5","11704","4","14527","5","13636","5","23287","7","19527","6","4615","2","13731","5","E02000492","74216","E09000016","49.5"
"E01002345","8218","3","7348","3","9123","3","11577","4","17191","6","5305","2","4910","2","8846","3","E02000493","67555","E09000016","49.5"
"E01002346","11222","4","8599","3","10376","4","12560","4","17163","6","12513","4","13020","4","8556","3","E02000493","67555","E09000016","49.5"
"E01002347","20494","7","14510","5","21380","7","20042","6","27355","9","19441","6","10659","4","16416","5","E02000493","67555","E09000016","49.5"
"E01002348","23598","7","22464","7","23233","7","20228","6","29391","9","25697","8","5748","2","21390","7","E02000492","74216","E09000016","49.5"
"E01002349","18070","6","19281","6","16038","5","15222","5","21383","7","24268","8","4246","2","23363","7","E02000492","74216","E09000016","49.5"
"E01002350","8790","3","9028","3","10635","4","11556","4","11726","4","4573","2","8272","3","7858","3","E02000479","69024","E09000016","49.5"
"E01002351","20982","7","18115","6","23536","7","16551","5","23082","7","24389","8","16287","5","8402","3","E02000479","69024","E09000016","49.5"
"E01002352","15309","5","14312","5","14441","5","19952","6","15082","5","17175","6","8746","3","11187","4","E02000479","69024","E09000016","49.5"
"E01002353","16145","5","13600","5","14853","5","19410","6","22664","7","6847","3","20386","7","11775","4","E02000476","64316","E09000016","49.5"
"E01002354","31482","10","30594","10","30079","9","29231","9","30349","9","22456","7","31111","10","16123","5","E02000475","79202","E09000016","49.5"
"E01002355","32722","10","29717","9","31397","10","27860","9","31309","10","32417","10","29559","9","23104","7","E02000477","86349","E09000016","49.5"
"E01002356","5388","2","6409","2","6852","3","12779","4","9144","3","329","1","7810","3","8721","3","E02000476","64316","E09000016","49.5"
"E01002358","15787","5","13123","4","17220","6","15606","5","20581","7","15725","5","14947","5","6859","3","E02000479","69024","E09000016","49.5"
"E01002359","30743","10","31414","10","27617","9","24993","8","27856","9","32287","10","19171","6","21530","7","E02000483","70392","E09000016","49.5"
"E01002360","16581","5","15438","5","14766","5","21593","7","17941","6","18700","6","13602","5","7369","3","E02000483","70392","E09000016","49.5"
"E01002361","13789","5","14414","5","15359","5","15372","5","22266","7","6931","3","7675","3","8650","3","E02000483","70392","E09000016","49.5"
"E01002362","28009","9","28006","9","31378","10","25942","8","31082","10","26010","8","10817","4","11626","4","E02000485","86896","E09000016","49.5"
"E01002363","15932","5","12753","4","14489","5","15084","5","16792","5","23177","7","10807","4","16279","5","E02000483","70392","E09000016","49.5"
"E01002364","30065","9","28511","9","30711","10","23510","7","25183","8","30613","10","21551","7","18749","6","E02000486","75074","E09000016","49.5"
"E01002365","19447","6","16196","5","18268","6","17228","6","22294","7","17138","6","20176","6","11746","4","E02000486","75074","E09000016","49.5"
"E01002366","24099","8","22363","7","22241","7","15934","5","25216","8","25303","8","15948","5","19418","6","E02000486","75074","E09000016","49.5"
"E01002367","23821","8","19672","6","22413","7","25281","8","26839","8","20574","7","17553","6","12166","4","E02000483","70392","E09000016","49.5"
"E01002368","7332","3","4773","2","8469","3","9933","3","8884","3","6842","3","10078","3","14090","5","E02000491","72916","E09000016","49.5"
"E01002369","15648","5","13136","4","15025","5","14670","5","22345","7","16841","5","7552","3","15991","5","E02000491","72916","E09000016","49.5"
"E01002370","10143","4","5314","2","10534","4","10842","4","15712","5","13399","4","10865","4","17329","6","E02000491","72916","E09000016","49.5"
"E01002371","19466","6","17539","6","20973","7","18775","6","19844","6","14983","5","12097","4","13908","5","E02000491","72916","E09000016","49.5"
"E01002372","24451","8","19051","6","23925","8","17030","6","25498","8","28458","9","17571","6","20024","6","E02000490","69874","E09000016","49.5"
"E01002373","20032","6","17084","6","18706","6","19208","6","21376","7","20006","6","12709","4","15562","5","E02000490","69874","E09000016","49.5"
"E01002374","15537","5","12702","4","17910","6","11334","4","21443","7","12957","4","12676","4","12775","4","E02000490","69874","E09000016","49.5"
"E01002375","9279","3","9258","3","9751","3","8955","3","13172","4","8287","3","5498","2","14837","5","E02000491","72916","E09000016","49.5"
"E01002376","32678","10","32392","10","32501","10","27543","9","29910","9","30796","10","29779","9","19071","6","E02000475","79202","E09000016","49.5"
"E01002377","21714","7","19773","6","19539","6","23373","7","24542","8","19659","6","13614","5","12263","4","E02000473","80083","E09000016","49.5"
"E01002378","28937","9","25374","8","26264","8","21263","7","29112","9","29693","9","17128","6","27479","9","E02000473","80083","E09000016","49.5"
"E01002379","22606","7","19595","6","23295","7","24864","8","29720","9","12466","4","19939","6","8725","3","E02000475","79202","E09000016","49.5"
"E01002380","12599","4","10392","4","11249","4","20712","7","9177","3","12927","4","9354","3","19296","6","E02000475","79202","E09000016","49.5"
"E01002381","19732","6","17449","6","19165","6","16474","5","25037","8","19420","6","14257","5","11068","4","E02000475","79202","E09000016","49.5"
"E01002382","25923","8","21027","7","22260","7","27424","9","27511","9","23111","7","23716","8","13578","5","E02000477","86349","E09000016","49.5"
"E01002383","25315","8","23022","7","23387","7","23766","8","25031","8","24671","8","22407","7","10904","4","E02000473","80083","E09000016","49.5"
"E01002384","30526","10","29215","9","30566","10","28198","9","30659","10","24622","8","26720","8","12429","4","E02000482","103241","E09000016","49.5"
"E01002385","28635","9","31478","10","30640","10","25264","8","29467","9","16792","5","15658","5","14428","5","E02000487","104831","E09000016","49.5"
"E01002386","21746","7","19417","6","23463","7","23227","7","30720","10","16033","5","9835","3","10218","4","E02000485","86896","E09000016","49.5"
"E01002387","33677","10","32928","10","32033","10","30425","10","33301","10","32906","10","30645","10","30746","10","E02000487","104831","E09000016","49.5"
"E01002388","33640","10","33496","10","32410","10","30248","9","32808","10","33635","10","29755","9","27792","9","E02000487","104831","E09000016","49.5"
"E01002389","33014","10","33085","10","31089","10","28042","9","31818","10","31976","10","21887","7","28676","9","E02000487","104831","E09000016","49.5"
"E01002390","33507","10","33689","10","32406","10","28785","9","33260","10","30209","9","29861","9","26634","8","E02000487","104831","E09000016","49.5"
"E01002391","26687","8","28947","9","30723","10","17682","6","28236","9","26261","8","7533","3","19132","6","E02000481","76750","E09000016","49.5"
"E01002392","4896","2","3457","2","4658","2","7388","3","11512","4","5689","2","2365","1","21484","7","E02000513","66192","E09000017","51.2"
"E01002393","11000","4","9230","3","14119","5","9176","3","15799","5","11101","4","3935","2","18629","6","E02000513","66192","E09000017","51.2"
"E01002394","11958","4","7657","3","15014","5","9563","3","19660","6","14800","5","4968","2","20628","7","E02000514","67666","E09000017","51.2"
"E01002395","13431","4","9515","3","14195","5","11988","4","19524","6","20974","7","6349","2","15995","5","E02000514","67666","E09000017","51.2"
"E01002396","9760","3","7346","3","13528","5","10504","4","17985","6","4845","2","7306","3","11290","4","E02000519","62306","E09000017","51.2"
"E01002397","5423","2","4353","2","9516","3","6189","2","16195","5","1759","1","3848","2","8297","3","E02000514","67666","E09000017","51.2"
"E01002398","14114","5","11376","4","15715","5","10295","4","21570","7","13077","4","7619","3","17946","6","E02000514","67666","E09000017","51.2"
"E01002399","14426","5","9524","3","19060","6","10480","4","21489","7","14242","5","9554","3","14778","5","E02000514","67666","E09000017","51.2"
"E01002400","9700","3","6702","2","12524","4","11799","4","11402","4","13439","4","5311","2","13175","4","E02000517","64010","E09000017","51.2"
"E01002401","9029","3","6043","2","11197","4","10572","4","17544","6","8325","3","5340","2","12306","4","E02000517","64010","E09000017","51.2"
"E01002402","8228","3","5528","2","10397","4","9294","3","13108","4","13285","4","5269","2","9881","3","E02000517","64010","E09000017","51.2"
"E01002403","8658","3","3928","2","9538","3","10349","4","21318","7","11725","4","4682","2","21238","7","E02000517","64010","E09000017","51.2"
"E01002404","6491","2","4400","2","7356","3","7721","3","11270","4","8187","3","4625","2","16055","5","E02000517","64010","E09000017","51.2"
"E01002405","9773","3","7154","3","11267","4","9263","3","15684","5","13223","4","6287","2","12006","4","E02000520","64070","E09000017","51.2"
"E01002408","5637","2","4408","2","6154","2","7328","3","13037","4","4163","2","5510","2","11063","4","E02000512","66639","E09000017","51.2"
"E01002409","11207","4","8156","3","11619","4","11420","4","19521","6","17104","6","6450","2","10193","4","E02000512","66639","E09000017","51.2"
"E01002410","14242","5","12863","4","17170","6","17697","6","21091","7","10677","4","6163","2","8100","3","E02000510","81405","E09000017","51.2"
"E01002411","13564","5","13134","4","15670","5","10272","4","15916","5","14043","5","5432","2","18411","6","E02000515","71307","E09000017","51.2"
"E01002412","16920","6","15891","5","20173","6","21103","7","18917","6","8177","3","5986","2","18845","6","E02000510","81405","E09000017","51.2"
"E01002413","6971","3","5095","2","9473","3","9279","3","9612","3","10323","4","2647","1","14383","5","E02000515","71307","E09000017","51.2"
"E01002414","24545","8","24101","8","30505","10","18610","6","21700","7","17336","6","12026","4","17322","6","E02000508","81004","E09000017","51.2"
"E01002415","30961","10","27867","9","30152","9","27615","9","30550","10","28574","9","20443","7","20430","7","E02000503","88352","E09000017","51.2"
"E01002416","29854","9","22995","7","28566","9","27645","9","26516","8","29634","9","23075","7","24403","8","E02000501","82996","E09000017","51.2"
"E01002417","29235","9","26379","8","29846","9","29798","9","32410","10","19868","6","21648","7","12822","4","E02000501","82996","E09000017","51.2"
"E01002418","23561","7","18047","6","20839","7","25822","8","25266","8","28522","9","11508","4","18755","6","E02000499","93692","E09000017","51.2"
"E01002419","29820","9","26086","8","30617","10","29861","9","31035","10","30886","10","20840","7","11282","4","E02000499","93692","E09000017","51.2"
"E01002420","21347","7","15577","5","17279","6","20989","7","24298","8","23293","7","11774","4","28947","9","E02000501","82996","E09000017","51.2"
"E01002421","24901","8","21486","7","22565","7","23737","8","21152","7","19852","6","23494","7","17968","6","E02000501","82996","E09000017","51.2"
"E01002422","12215","4","9372","3","14316","5","11049","4","23601","7","9503","3","6441","2","13012","4","E02000511","74178","E09000017","51.2"
"E01002423","13258","4","9887","3","14386","5","16247","5","15710","5","16315","5","7412","3","12322","4","E02000511","74178","E09000017","51.2"
"E01002424","14834","5","10550","4","16440","5","14069","5","20839","7","19941","6","7333","3","13574","5","E02000511","74178","E09000017","51.2"
"E01002425","8666","3","5473","2","11374","4","10117","3","19393","6","14220","5","1681","1","16101","5","E02000511","74178","E09000017","51.2"
"E01002426","11868","4","7815","3","15709","5","10348","4","22823","7","18569","6","4345","2","10766","4","E02000514","67666","E09000017","51.2"
"E01002427","18252","6","15324","5","21344","7","13640","5","21366","7","28405","9","9356","3","10406","4","E02000511","74178","E09000017","51.2"
"E01002428","18827","6","16104","5","21983","7","12333","4","24364","8","21643","7","4901","2","25962","8","E02000511","74178","E09000017","51.2"
"E01002429","8217","3","5824","2","9382","3","6436","2","13080","4","16596","5","2942","1","25532","8","E02000512","66639","E09000017","51.2"
"E01002430","33336","10","33329","10","32020","10","32269","10","31780","10","29186","9","24487","8","26893","8","E02000500","89285","E09000017","51.2"
"E01002431","33681","10","33349","10","32891","10","33003","10","32364","10","32999","10","29544","9","27115","9","E02000499","93692","E09000017","51.2"
"E01002432","24980","8","20456","7","30110","9","27029","9","29716","9","14198","5","15999","5","10606","4","E02000499","93692","E09000017","51.2"
"E01002433","18387","6","15871","5","14523","5","18425","6","25845","8","15593","5","10221","4","21318","7","E02000497","84177","E09000017","51.2"
"E01002434","31550","10","30357","9","31737","10","29097","9","31742","10","25802","8","26415","8","14511","5","E02000500","89285","E09000017","51.2"
"E01002435","32397","10","32726","10","31838","10","31436","10","32007","10","28026","9","27939","9","14543","5","E02000500","89285","E09000017","51.2"
"E01002436","24308","8","21329","7","20353","7","26878","8","22825","7","19590","6","19595","6","16731","5","E02000497","84177","E09000017","51.2"
"E01002437","32308","10","32207","10","32506","10","32646","10","31441","10","32862","10","23602","7","13497","4","E02000499","93692","E09000017","51.2"
"E01002438","19419","6","20759","7","24023","8","19490","6","23234","7","22057","7","1258","1","25853","8","E02000496","72584","E09000017","51.2"
"E01002439","14195","5","16155","5","16657","5","13020","4","18566","6","22379","7","2311","1","10857","4","E02000496","72584","E09000017","51.2"
"E01002440","11548","4","12830","4","16464","5","8145","3","12135","4","17559","6","1417","1","23550","7","E02000496","72584","E09000017","51.2"
"E01002441","8381","3","14291","5","12975","4","6850","3","14417","5","11277","4","157","1","11467","4","E02000496","72584","E09000017","51.2"
"E01002442","9934","3","11420","4","12875","4","5951","2","16704","5","14635","5","1722","1","16138","5","E02000496","72584","E09000017","51.2"
"E01002443","9065","3","10214","4","18322","6","10682","4","27189","9","10426","4","437","1","3030","1","E02000525","64977","E09000017","51.2"
"E01002444","6626","2","7093","3","16408","5","8593","3","15673","5","22352","7","12","1","1903","1","E02000524","63805","E09000017","51.2"
"E01002445","4178","2","4476","2","7883","3","5502","2","10890","4","3272","1","330","1","9956","3","E02000522","73309","E09000017","51.2"
"E01002446","13068","4","12602","4","26371","8","10594","4","27578","9","11185","4","1461","1","7083","3","E02000524","63805","E09000017","51.2"
"E01002447","8232","3","9950","3","16709","5","7085","3","21391","7","15312","5","336","1","3710","2","E02000524","63805","E09000017","51.2"
"E01002448","9114","3","8469","3","18780","6","6459","2","24651","8","7810","3","1893","1","5571","2","E02000525","64977","E09000017","51.2"
"E01002449","6714","2","6276","2","13380","4","8722","3","19282","6","9854","3","164","1","6227","2","E02000525","64977","E09000017","51.2"
"E01002450","23296","7","19706","6","26572","8","21257","7","23309","7","25713","8","8571","3","16732","5","E02000507","81892","E09000017","51.2"
"E01002451","24751","8","18510","6","26110","8","22539","7","24471","8","25674","8","16081","5","16752","5","E02000507","81892","E09000017","51.2"
"E01002452","21051","7","17778","6","19277","6","20675","7","24236","8","24817","8","13485","4","11832","4","E02000507","81892","E09000017","51.2"
"E01002453","20889","7","14669","5","21540","7","21428","7","21375","7","25198","8","10135","4","19965","6","E02000507","81892","E09000017","51.2"
"E01002454","12835","4","11310","4","11285","4","16541","5","17486","6","12175","4","5615","2","17583","6","E02000507","81892","E09000017","51.2"
"E01002455","11135","4","8562","3","13607","5","15580","5","18942","6","13345","4","3972","2","7919","3","E02000512","66639","E09000017","51.2"
"E01002456","14252","5","10322","4","14797","5","20498","7","19802","6","14842","5","5906","2","13214","4","E02000510","81405","E09000017","51.2"
"E01002457","7864","3","6131","2","8513","3","12040","4","10927","4","7847","3","4190","2","16236","5","E02000512","66639","E09000017","51.2"
"E01002458","31666","10","32947","10","29861","9","29727","9","30578","10","29132","9","17679","6","19913","6","E02000504","93393","E09000017","51.2"
"E01002459","32999","10","32770","10","32338","10","30954","10","32487","10","32418","10","19212","6","24994","8","E02000504","93393","E09000017","51.2"
"E01002460","27540","9","26621","8","30569","10","29735","9","32237","10","15345","5","17048","6","9662","3","E02000504","93393","E09000017","51.2"
"E01002461","26355","8","25583","8","27830","9","25849","8","27211","9","19471","6","8782","3","20456","7","E02000506","88628","E09000017","51.2"
"E01002462","31487","10","29865","9","32404","10","32245","10","32232","10","31936","10","10840","4","22785","7","E02000504","93393","E09000017","51.2"
"E01002463","29733","9","28804","9","27849","9","28030","9","25858","8","28303","9","24754","8","14232","5","E02000506","88628","E09000017","51.2"
"E01002464","29201","9","21988","7","30236","9","27273","9","25073","8","29834","9","19172","6","23766","8","E02000504","93393","E09000017","51.2"
"E01002465","19198","6","15500","5","20567","7","19041","6","20637","7","21120","7","14406","5","9592","3","E02000502","82272","E09000017","51.2"
"E01002466","29410","9","26799","8","28300","9","25626","8","27024","9","24032","8","20950","7","21121","7","E02000503","88352","E09000017","51.2"
"E01002467","30663","10","27570","9","31052","10","28301","9","30767","10","28468","9","24634","8","13575","5","E02000502","82272","E09000017","51.2"
"E01002468","29133","9","25535","8","30104","9","26359","8","27095","9","25840","8","23348","7","14442","5","E02000503","88352","E09000017","51.2"
"E01002469","31046","10","29898","9","31400","10","26859","8","31210","10","29442","9","24892","8","12927","4","E02000503","88352","E09000017","51.2"
"E01002470","19610","6","16467","5","25173","8","19447","6","29081","9","11230","4","11215","4","8532","3","E02000500","89285","E09000017","51.2"
"E01002471","30571","10","29388","9","29696","9","28682","9","30425","10","28666","9","24320","8","12459","4","E02000501","82996","E09000017","51.2"
"E01002472","24332","8","19037","6","25000","8","23281","7","27341","9","19389","6","17703","6","14290","5","E02000495","76180","E09000017","51.2"
"E01002473","23624","7","23069","7","19042","6","23477","7","24806","8","19670","6","9950","3","26001","8","E02000494","93030","E09000017","51.2"
"E01002474","25216","8","19377","6","26334","8","28150","9","26973","8","26148","8","13776","5","12749","4","E02000495","76180","E09000017","51.2"
"E01002475","17863","6","15127","5","13788","5","22691","7","17200","6","24218","8","11109","4","16837","5","E02000494","93030","E09000017","51.2"
"E01002476","32265","10","29295","9","30525","10","31056","10","32375","10","32598","10","21500","7","22113","7","E02000494","93030","E09000017","51.2"
